"income_band","inc_low","inc_high","inc_mid","age_band","age_band_key","members","pp3","pp4","pp6","pp8","pp10","ppn"
"$173,001 - $174,000",173001,174000,173500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$173,001 - $174,000",173001,174000,173500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$173,001 - $174,000",173001,174000,173500.5,"18-24","ks_18_24",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$173,001 - $174,000",173001,174000,173500.5,"25-34","ks_25_34",245.40240176224,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$173,001 - $174,000",173001,174000,173500.5,"35-44","ks_35_44",735.484066689138,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$173,001 - $174,000",173001,174000,173500.5,"45-54","ks_45_54",773.95870792862,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$173,001 - $174,000",173001,174000,173500.5,"55-64","ks_55_64",542.00952274255,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$173,001 - $174,000",173001,174000,173500.5,"65+","ks_65p",99.3688743034601,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$174,001 - $175,000",174001,175000,174500.5,"Under 16","ks_u16",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
"$174,001 - $175,000",174001,175000,174500.5,"16-17","ks_16_17",0,0.522008683178158,0.172616040178759,0.0615991257754351,0.0573150785885981,0.0586653003170536,0.127795771961996
